Calendar Year,Fishery,Species Category,Species (or group),Number of vessels with observer data ,Observed Mortalities (number),Observed Live Releases,Number of sets observed,Observed Interactions (number),Observed Interaction Rate (per set),Observed Mortality rate (per set),LATITUDE (5° cell),LONGITUDE (5° cell)
2019,S,SHK,WHALE SHARK,144,1,6,2620,7,0.002671756,0.000381679,-2.5,167.5
2019,S,SHK,WHALE SHARK,150,2,46,4755,50,0.010515247,0.00042061,-2.5,172.5
2019,S,SHK,WHALE SHARK,158,0,52,5044,54,0.010705789,0,-2.5,177.5
2019,S,SHK,WHALE SHARK,63,3,15,913,18,0.019715225,0.003285871,2.5,-172.5
2019,S,SHK,WHALE SHARK,61,0,15,885,16,0.018079096,0,2.5,-167.5
2019,S,SHK,WHALE SHARK,32,0,1,168,1,0.005952381,0,2.5,-162.5
2019,S,SHK,WHALE SHARK,28,0,0,118,1,0.008474576,0,2.5,-157.5
2019,S,SHK,WHALE SHARK,19,0,2,94,2,0.021276596,0,2.5,-152.5
2019,S,SHK,WHALE SHARK,31,0,3,2151,3,0.0013947,0,2.5,137.5
2019,S,SHK,WHALE SHARK,73,0,19,1061,19,0.017907634,0,2.5,142.5
2019,S,SHK,WHALE SHARK,91,0,75,1488,75,0.050403226,0,2.5,147.5
2019,S,SHK,WHALE SHARK,119,0,38,1481,39,0.026333558,0,2.5,152.5
2019,S,SHK,WHALE SHARK,101,0,7,780,7,0.008974359,0,2.5,157.5
2019,S,SHK,WHALE SHARK,112,0,14,796,14,0.01758794,0,2.5,162.5
2019,S,SHK,WHALE SHARK,122,0,12,977,12,0.012282497,0,2.5,167.5
2019,S,SHK,WHALE SHARK,105,0,4,700,4,0.005714286,0,2.5,172.5
2019,S,SHK,WHALE SHARK,126,0,18,2192,19,0.008667883,0,2.5,177.5
2019,S,SHK,WHALE SHARK,35,0,1,185,1,0.005405405,0,7.5,-167.5
2019,S,SHK,WHALE SHARK,44,0,2,462,2,0.004329004,0,7.5,137.5
2019,S,SHK,WHALE SHARK,57,0,4,444,4,0.009009009,0,7.5,142.5
2019,S,SHK,WHALE SHARK,10,0,1,38,1,0.026315789,0,7.5,152.5
2019,S,SHK,WHALE SHARK,31,0,2,105,2,0.019047619,0,7.5,162.5
2019,S,SHK,WHALE SHARK,35,0,1,171,1,0.005847953,0,12.5,142.5
2020,S,SHK,WHALE SHARK,9,0,1,25,1,0.04,0,-12.5,152.5
2020,S,SHK,WHALE SHARK,25,1,19,195,20,0.102564103,0.005128205,-12.5,157.5
2020,S,SHK,WHALE SHARK,36,0,3,193,4,0.020725389,0,-12.5,162.5
2020,S,SHK,WHALE SHARK,44,0,4,333,4,0.012012012,0,-12.5,167.5
2020,S,SHK,WHALE SHARK,6,0,1,13,1,0.076923077,0,-7.5,-147.5
2020,S,SHK,WHALE SHARK,37,0,10,295,11,0.037288136,0,-7.5,152.5
2020,S,SHK,WHALE SHARK,40,0,1,159,1,0.006289308,0,-7.5,157.5
2020,S,SHK,WHALE SHARK,44,0,4,237,4,0.016877637,0,-7.5,167.5
2020,S,SHK,WHALE SHARK,45,0,2,210,2,0.00952381,0,-7.5,172.5
2020,S,SHK,WHALE SHARK,57,0,5,570,5,0.00877193,0,-2.5,-177.5
2020,S,SHK,WHALE SHARK,27,0,2,223,2,0.00896861,0,-2.5,-167.5
2020,S,SHK,WHALE SHARK,40,0,12,332,12,0.036144578,0,-2.5,142.5
2020,S,SHK,WHALE SHARK,36,0,4,456,4,0.00877193,0,-2.5,147.5
2020,S,SHK,WHALE SHARK,70,0,8,554,8,0.014440433,0,-2.5,152.5
2020,S,SHK,WHALE SHARK,84,0,3,663,4,0.006033183,0,-2.5,157.5
2020,S,SHK,WHALE SHARK,64,0,2,319,2,0.006269592,0,-2.5,162.5
2020,S,SHK,WHALE SHARK,82,0,2,579,2,0.003454231,0,-2.5,167.5
2020,S,SHK,WHALE SHARK,103,0,5,944,6,0.006355932,0,-2.5,172.5
2020,S,SHK,WHALE SHARK,98,0,3,1078,5,0.004638219,0,-2.5,177.5
2020,S,SHK,WHALE SHARK,31,0,1,213,1,0.004694836,0,2.5,-172.5
2020,S,SHK,WHALE SHARK,29,0,3,2116,3,0.001417769,0,2.5,137.5
2020,S,SHK,WHALE SHARK,50,0,7,730,7,0.009589041,0,2.5,142.5
2020,S,SHK,WHALE SHARK,50,0,9,324,9,0.027777778,0,2.5,147.5
2020,S,SHK,WHALE SHARK,78,0,19,599,19,0.031719533,0,2.5,152.5
2020,S,SHK,WHALE SHARK,85,0,4,538,4,0.007434944,0,2.5,157.5
2020,S,SHK,WHALE SHARK,65,0,1,323,1,0.003095975,0,2.5,162.5
2020,S,SHK,WHALE SHARK,87,0,1,828,1,0.001207729,0,2.5,167.5
2020,S,SHK,WHALE SHARK,67,0,3,596,3,0.005033557,0,2.5,177.5
2020,S,SHK,WHALE SHARK,13,0,1,81,1,0.012345679,0,7.5,137.5
2021,S,SHK,WHALE SHARK,9,0,3,66,3,0.045454545,0,-2.5,142.5
2021,S,SHK,WHALE SHARK,17,0,2,116,2,0.017241379,0,-2.5,147.5
2021,S,SHK,WHALE SHARK,14,0,2,149,2,0.013422819,0,-2.5,157.5
2021,S,SHK,WHALE SHARK,27,0,1,1883,1,0.000531067,0,2.5,137.5
2021,S,SHK,WHALE SHARK,28,0,16,839,16,0.019070322,0,2.5,142.5
2022,S,SHK,WHALE SHARK,17,0,1,87,1,0.011494253,0,2.5,147.5
2022,S,SHK,WHALE SHARK,38,0,2,288,2,0.006944444,0,2.5,152.5
2023,S,SHK,WHALE SHARK,10,0,4,76,4,0.052631579,0,-12.5,157.5
2023,S,SHK,WHALE SHARK,57,0,0,412,1,0.002427184,0,-7.5,-177.5
2023,S,SHK,WHALE SHARK,22,0,2,213,2,0.009389671,0,-7.5,-152.5
2023,S,SHK,WHALE SHARK,63,0,3,547,3,0.005484461,0,-7.5,152.5
2023,S,SHK,WHALE SHARK,53,0,4,305,4,0.013114754,0,-7.5,157.5
2023,S,SHK,WHALE SHARK,34,0,1,125,1,0.008,0,-7.5,172.5
2023,S,SHK,WHALE SHARK,44,0,2,311,2,0.006430868,0,-7.5,177.5
2023,S,SHK,WHALE SHARK,82,0,1,483,1,0.002070393,0,-2.5,-177.5
2023,S,SHK,WHALE SHARK,77,0,2,839,2,0.00238379,0,-2.5,-172.5
2023,S,SHK,WHALE SHARK,84,0,7,1288,7,0.005434783,0,-2.5,-167.5
2023,S,SHK,WHALE SHARK,26,0,1,112,1,0.008928571,0,-2.5,-157.5
2023,S,SHK,WHALE SHARK,64,0,8,644,8,0.01242236,0,-2.5,147.5
2023,S,SHK,WHALE SHARK,106,0,7,918,8,0.008714597,0,-2.5,152.5
2023,S,SHK,WHALE SHARK,109,0,8,1181,9,0.00762066,0,-2.5,157.5
2023,S,SHK,WHALE SHARK,83,0,4,514,4,0.007782101,0,-2.5,162.5
2023,S,SHK,WHALE SHARK,100,1,4,1428,6,0.004201681,0.00070028,-2.5,167.5
2023,S,SHK,WHALE SHARK,88,0,4,1140,4,0.003508772,0,-2.5,172.5
2023,S,SHK,WHALE SHARK,99,0,1,1000,1,0.001,0,-2.5,177.5
2023,S,SHK,WHALE SHARK,60,0,1,467,1,0.002141328,0,2.5,-167.5
2023,S,SHK,WHALE SHARK,69,0,10,960,10,0.010416667,0,2.5,-162.5
2023,S,SHK,WHALE SHARK,58,0,0,853,1,0.001172333,0,2.5,-157.5
2023,S,SHK,WHALE SHARK,67,0,10,1154,10,0.008665511,0,2.5,142.5
2023,S,SHK,WHALE SHARK,79,0,271,656,271,0.413109756,0,2.5,147.5
2023,S,SHK,WHALE SHARK,92,0,7,733,7,0.009549795,0,2.5,152.5
2023,S,SHK,WHALE SHARK,69,0,2,605,2,0.003305785,0,2.5,157.5
2023,S,SHK,WHALE SHARK,65,0,1,427,1,0.00234192,0,2.5,162.5
2023,S,SHK,WHALE SHARK,97,0,3,1705,3,0.001759531,0,2.5,167.5
2023,S,SHK,WHALE SHARK,77,0,1,775,1,0.001290323,0,2.5,172.5
2023,S,SHK,WHALE SHARK,98,0,5,1472,6,0.004076087,0,2.5,177.5
2023,S,SHK,WHALE SHARK,3,0,1,3,1,0.333333333,0,7.5,137.5
2023,S,SHK,WHALE SHARK,4,0,1,15,1,0.066666667,0,7.5,142.5
2023,S,SHK,WHALE SHARK,30,0,1,114,1,0.00877193,0,7.5,167.5
2023,S,SHK,WHALE SHARK,27,0,1,123,1,0.008130081,0,7.5,177.5
