Calendar Year,Fishery,Species Category,Species (or group),Number of vessels with observer data ,Observed Mortalities (number),Observed Live Releases,Number of sets observed,Observed Interactions (number),Observed Interaction Rate (per set),Observed Mortality rate (per set),LATITUDE (5° cell),LONGITUDE (5° cell)
2015,S,SHK,WHALE SHARK,18,0,4,60,4,0.066666667,0,-7.5,152.5
2015,S,SHK,WHALE SHARK,22,0,2,82,2,0.024390244,0,-7.5,157.5
2015,S,SHK,WHALE SHARK,89,0,3,750,5,0.006666667,0,-7.5,162.5
2015,S,SHK,WHALE SHARK,88,0,5,763,6,0.007863696,0,-7.5,167.5
2015,S,SHK,WHALE SHARK,56,0,1,249,1,0.004016064,0,-7.5,172.5
2015,S,SHK,WHALE SHARK,94,0,4,915,4,0.004371585,0,-7.5,177.5
2015,S,SHK,WHALE SHARK,97,0,5,824,5,0.006067961,0,-2.5,-177.5
2015,S,SHK,WHALE SHARK,54,0,21,535,22,0.041121495,0,-2.5,-172.5
2015,S,SHK,WHALE SHARK,129,1,20,2676,26,0.009715994,0.000373692,-2.5,-167.5
2015,S,SHK,WHALE SHARK,94,0,3,1193,3,0.002514669,0,-2.5,-162.5
2015,S,SHK,WHALE SHARK,62,1,2,1415,5,0.003533569,0.000706714,-2.5,-157.5
2015,S,SHK,WHALE SHARK,43,0,7,275,8,0.029090909,0,-2.5,147.5
2015,S,SHK,WHALE SHARK,61,0,2,290,2,0.006896552,0,-2.5,152.5
2015,S,SHK,WHALE SHARK,86,0,1,454,1,0.002202643,0,-2.5,157.5
2015,S,SHK,WHALE SHARK,84,0,7,481,9,0.018711019,0,-2.5,162.5
2015,S,SHK,WHALE SHARK,142,0,22,1734,23,0.013264129,0,-2.5,167.5
2015,S,SHK,WHALE SHARK,158,1,15,2076,16,0.007707129,0.000481696,-2.5,172.5
2015,S,SHK,WHALE SHARK,147,0,9,2079,12,0.005772006,0,-2.5,177.5
2015,S,SHK,WHALE SHARK,51,0,5,337,5,0.014836795,0,2.5,-172.5
2015,S,SHK,WHALE SHARK,54,0,7,553,7,0.012658228,0,2.5,-167.5
2015,S,SHK,WHALE SHARK,22,0,1,67,1,0.014925373,0,2.5,-162.5
2015,S,SHK,WHALE SHARK,33,0,1,2131,1,0.000469263,0,2.5,137.5
2015,S,SHK,WHALE SHARK,34,0,6,416,6,0.014423077,0,2.5,142.5
