assessmentId,internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes
156927622,20733,Stenella longirostris,ANIMALIA,CHORDATA,ARTIODACTYLA,MAMMALIA,DELPHINIDAE,Stenella,longirostris,,,,"(Gray, 1828)",Least Concern,,3.1,Unknown,Global
156932432,22563,Tursiops truncatus,ANIMALIA,CHORDATA,ARTIODACTYLA,MAMMALIA,DELPHINIDAE,Tursiops,truncatus,,,,"(Montagu, 1821)",Least Concern,,3.1,Unknown,Global
160983555,41755,Physeter macrocephalus,ANIMALIA,CHORDATA,ARTIODACTYLA,MAMMALIA,PHYSETERIDAE,Physeter,macrocephalus,,,,"Linnaeus, 1758",Vulnerable,A1d,3.1,Unknown,Global
175604493,11146,Lagenorhynchus obscurus,ANIMALIA,CHORDATA,ARTIODACTYLA,MAMMALIA,DELPHINIDAE,Lagenorhynchus,obscurus,,,,"(Gray, 1828)",Least Concern,,3.1,Unknown,Global
178589687,41712,Eubalaena glacialis,ANIMALIA,CHORDATA,ARTIODACTYLA,MAMMALIA,BALAENIDAE,Eubalaena,glacialis,,,,"(Müller, 1776)",Critically Endangered,C2a(ii),3.1,Decreasing,Global
178756918,178756893,Berardius minimus,ANIMALIA,CHORDATA,ARTIODACTYLA,MAMMALIA,ZIPHIIDAE,Berardius,minimus,,,,"Yamada, Kitamura &amp; Matsuishi, 2019",Near Threatened,A4b,3.1,Decreasing,Global
178929751,20738,Steno bredanensis,ANIMALIA,CHORDATA,ARTIODACTYLA,MAMMALIA,DELPHINIDAE,Steno,bredanensis,,,,"(Lesson, 1828)",Least Concern,,3.1,Unknown,Global
182525770,127826787,Mesoplodon hotaula,ANIMALIA,CHORDATA,ARTIODACTYLA,MAMMALIA,ZIPHIIDAE,Mesoplodon,hotaula,,,,"Deraniyagala, 1963",Data Deficient,,3.1,Unknown,Global
197190014,2762,Berardius arnuxii,ANIMALIA,CHORDATA,ARTIODACTYLA,MAMMALIA,ZIPHIIDAE,Berardius,arnuxii,,,,"Duvernoy, 1851",Least Concern,,3.1,Unknown,Global
199893039,134817215,Delphinus delphis,ANIMALIA,CHORDATA,ARTIODACTYLA,MAMMALIA,DELPHINIDAE,Delphinus,delphis,,,,"Linnaeus, 1758",Least Concern,,3.1,Unknown,Global
208496244,215823373,Balaenoptera ricei,ANIMALIA,CHORDATA,ARTIODACTYLA,MAMMALIA,BALAENOPTERIDAE,Balaenoptera,ricei,,,,"Rosel, Wilcox, Yamada &amp; Mullin, 2021",Critically Endangered,D,3.1,Decreasing,Global
210428691,13250,Mesoplodon mirus,ANIMALIA,CHORDATA,ARTIODACTYLA,MAMMALIA,ZIPHIIDAE,Mesoplodon,mirus,,,,"True, 1913",Least Concern,,3.1,Unknown,Global
215824841,215824818,Mesoplodon eueu,ANIMALIA,CHORDATA,ARTIODACTYLA,MAMMALIA,ZIPHIIDAE,Mesoplodon,eueu,,,,"Carroll et al, 2021",Data Deficient,,3.1,Unknown,Global
230253271,82031633,Sousa plumbea,ANIMALIA,CHORDATA,ARTIODACTYLA,MAMMALIA,DELPHINIDAE,Sousa,plumbea,,,,"(G. Cuvier, 1829)",Endangered,A2cd+3cd+4cd,3.1,Decreasing,Global
243168232,41757,Platanista minor,ANIMALIA,CHORDATA,ARTIODACTYLA,MAMMALIA,PLATANISTIDAE,Platanista,minor,,,,"Owen, 1853",Endangered,A2abcde; C1,3.1,Increasing,Global
